id,province_id,name_th,name_en
596,43,เฉลิมพระเกียรติ,Chaloem Phra Kiat
597,44,เมืองพะเยา,Mueang Phayao
598,44,จุน,Chun
599,44,เชียงคำ,Chiang Kham
600,44,เชียงม่วน,Chiang Muan
601,44,ดอกคำใต้,Dok Khamtai
602,44,ปง,Pong
603,44,แม่ใจ,Mae Chai
604,44,ภูซาง,Phu Sang
605,44,ภูกามยาว,Phu Kamyao
606,45,เมืองเชียงราย,Mueang Chiang Rai
607,45,เวียงชัย,Wiang Chai
608,45,เชียงของ,Chiang Khong
609,45,เทิง,Thoeng
610,45,พาน,Phan
611,45,ป่าแดด,Pa Daet
612,45,แม่จัน,Mae Chan
613,45,เชียงแสน,Chiang Saen
614,45,แม่สาย,Mae Sai
615,45,แม่สรวย,Mae Suai
616,45,เวียงป่าเป้า,Wiang Pa Pao
617,45,พญาเม็งราย,Phaya Mengrai
618,45,เวียงแก่น,Wiang Kaen
619,45,ขุนตาล,Khun Tan
620,45,แม่ฟ้าหลวง,Mae Fa Luang
621,45,แม่ลาว,Mae Lao
622,45,เวียงเชียงรุ้ง,Wiang Chiang Rung
623,45,ดอยหลวง,Doi Luang
624,46,เมืองแม่ฮ่องสอน,Mueang Mae Hong Son
625,46,ขุนยวม,Khun Yuam
626,46,ปาย,Pai
627,46,แม่สะเรียง,Mae Sariang
628,46,แม่ลาน้อย,Mae La Noi
629,46,สบเมย,Sop Moei
630,46,ปางมะผ้า,Pang Mapha
631,47,เมืองนครสวรรค์,Mueang Nakhon Sawan
632,47,โกรกพระ,Krok Phra
633,47,ชุมแสง,Chum Saeng
634,47,หนองบัว,Nong Bua
635,47,บรรพตพิสัย,Banphot Phisai
636,47,เก้าเลี้ยว,Kao Liao
637,47,ตาคลี,Takhli
638,47,ท่าตะโก,Takhli
639,47,ไพศาลี,Phaisali
640,47,พยุหะคีรี,Phayuha Khiri
641,47,ลาดยาว,Phayuha Khiri
642,47,ตากฟ้า,Tak Fa
643,47,แม่วงก์,Mae Wong
644,47,แม่เปิน,Mae Poen
645,47,ชุมตาบง,Chum Ta Bong
646,48,เมืองอุทัยธานี,Mueang Uthai Thani
647,48,ทัพทัน,Thap Than
648,48,สว่างอารมณ์,Sawang Arom
649,48,หนองฉาง,Nong Chang
650,48,หนองขาหย่าง,Nong Khayang
651,48,บ้านไร่,Ban Rai
652,48,ลานสัก,Lan Sak
653,48,ห้วยคต,Huai Khot
